Purchase Date - POSIX,Purchase Date - Day,Price Per Unit,Quantity,Price Total
1545680689,12/24/2018,1300,15,19500,NULL
1545698922,12/24/2018,1500,8,12000,NULL
1545749573,12/25/2018,1500,99,148500,NULL
1545749574,12/25/2018,1500,99,148500,NULL
1545749576,12/25/2018,1500,99,148500,NULL
1545749577,12/25/2018,1500,99,148500,NULL
1545860982,12/26/2018,1400,20,28000,NULL
1545860983,12/26/2018,1329,8,10632,NULL
1545961283,12/27/2018,1300,50,65000,NULL
1546063036,12/28/2018,1300,50,65000,NULL
1546101615,12/29/2018,1250,50,62500,NULL
1546125499,12/29/2018,1250,50,62500,NULL
1546125507,12/29/2018,1300,50,65000,NULL
1546287509,12/31/2018,1000,6,6000,NULL
1546287510,12/31/2018,1100,30,33000,NULL
1546426154,01/02/2019,1239,10,12390,NULL
1546426570,01/02/2019,1400,20,28000,NULL
1546747510,01/05/2019,1090,99,107910,NULL
1546829407,01/06/2019,1090,50,54500,NULL
1546831243,01/06/2019,2036,6,12216,NULL
1546844445,01/06/2019,1080,99,106920,NULL
1546844446,01/06/2019,1080,66,71280,NULL
1546844448,01/06/2019,1090,99,107910,NULL
1546997895,01/08/2019,1236,99,122364,NULL
1546997899,01/08/2019,1225,20,24500,NULL
1546997900,01/08/2019,1236,39,48204,NULL
1547004992,01/08/2019,1240,50,62000,NULL
1547005408,01/08/2019,1240,50,62000,NULL
1547007408,01/08/2019,1300,20,26000,NULL
1547056881,01/09/2019,999,6,5994,NULL
1547056912,01/09/2019,1240,50,62000,NULL
1547056914,01/09/2019,1240,50,62000,NULL
1547056915,01/09/2019,1249,38,47462,NULL
1547056917,01/09/2019,1500,99,148500,NULL
1547056919,01/09/2019,1500,99,148500,NULL
1547056921,01/09/2019,1400,20,28000,NULL
1547056922,01/09/2019,1400,20,28000,NULL
1547065916,01/09/2019,1500,99,148500,NULL
1547078730,01/09/2019,1500,99,148500,NULL
1547159085,01/10/2019,1650,50,82500,NULL
1547205517,01/11/2019,1650,50,82500,NULL
1547322721,01/12/2019,1650,50,82500,NULL
1547399450,01/13/2019,1650,50,82500,NULL
1547410228,01/13/2019,1536,12,18432,NULL
1547437568,01/13/2019,1650,50,82500,NULL
1547437570,01/13/2019,1650,50,82500,NULL
1547705068,01/16/2019,1600,5,8000,Rainy Sky
1547734546,01/17/2019,1199,99,118701,Samuel Sideshow
1547875970,01/18/2019,1200,20,24000,Kairie Inuoue
1548061582,01/21/2019,1140,50,57000,M'luka Serenity
1548096192,01/21/2019,1236,20,24720,Rainy Sky
1548210584,01/22/2019,1100,9,9900,Kimiko Yumira
1548214258,01/22/2019,1100,9,9900,Kimiko Yumira
1548380045,01/24/2019,989,50,49450,Kimiko Yumira
1548390093,01/24/2019,1145,2,2290,Makoto Adachi
1548390614,01/24/2019,990,50,49500,Makoto Adachi
1548544196,01/26/2019,1450,30,43500,Davin Fenris
1548585171,01/27/2019,990,50,49500,Eiwhaz Jera
1548585174,01/27/2019,990,50,49500,Eiwhaz Jera
1548619197,01/27/2019,990,50,49500,Cecilia Venture
1548619200,01/27/2019,1000,99,99000,Cecilia Venture
1548619202,01/27/2019,1000,49,49000,Cecilia Venture
1548619203,01/27/2019,1000,48,48000,Cecilia Venture
1548619204,01/27/2019,1000,39,39000,Cecilia Venture
1548632014,01/27/2019,1100,99,108900,Artar Artan
1548632016,01/27/2019,1100,99,108900,Artar Artan
1548708361,01/28/2019,2000,1,2000,Fedora Thexplorer
